PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Has_Cabin,FamilySize,IsAlone,AgeGroup,FareGroup,Title
15,0,3,"Passenger_15, Mr/Mrs. John",female,65.0,1,0,A/5 68773,54.62442954292244,S,0,2,0,Senior,Very High,Rare
16,0,3,"Passenger_16, Mr/Mrs. John",male,28.0,2,0,A/5 43123,73.55516786171734,S,0,3,0,Adult,Very High,Rare
17,0,2,"Passenger_17, Mr/Mrs. John",male,58.0,0,0,A/5 19718,48.73443190334951,S,0,1,1,Middle-aged,Very High,Rare
18,0,2,"Passenger_18, Mr/Mrs. John",male,53.0,0,1,A/5 72637,6.955488483535362,S,0,2,0,Middle-aged,Low,Rare
19,1,2,"Passenger_19, Mr/Mrs. John",female,41.0,0,0,A/5 10028,2.903811814238325,S,0,1,1,Middle-aged,Low,Rare
20,1,3,"Passenger_20, Mr/Mrs. John",female,34.0,0,0,A/5 72370,29.75985366198753,Q,1,1,1,Adult,High,Rare
21,0,2,"Passenger_21, Mr/Mrs. John",male,41.0,0,0,A/5 57599,1.88126367179372,C,0,1,1,Middle-aged,Low,Rare
22,0,3,"Passenger_22, Mr/Mrs. John",male,25.0,0,0,A/5 27397,35.75240956460333,S,0,1,1,Adult,High,Rare
23,0,2,"Passenger_23, Mr/Mrs. John",male,58.0,0,0,A/5 55406,24.18961882574136,S,0,1,1,Middle-aged,High,Rare
24,0,3,"Passenger_24, Mr/Mrs. John",female,57.0,0,0,A/5 57657,34.78517576920539,S,1,1,1,Middle-aged,High,Rare
25,1,2,"Passenger_25, Mr/Mrs. John",female,16.0,0,0,A/5 77560,28.54447126879127,S,1,1,1,Teenager,High,Rare
26,1,2,"Passenger_26, Mr/Mrs. John",male,77.0,0,0,A/5 23503,17.58072537165783,S,0,1,1,Senior,Medium,Rare
27,0,3,"Passenger_27, Mr/Mrs. John",male,51.0,0,2,A/5 64943,7.175700097861665,S,0,3,0,Middle-aged,Low,Rare
28,0,3,"Passenger_28, Mr/Mrs. John",male,41.0,0,2,A/5 85839,11.675334765907056,S,0,3,0,Middle-aged,Medium,Rare
29,1,1,"Passenger_29, Mr/Mrs. John",female,72.0,3,0,A/5 92674,23.78846734746584,S,0,4,0,Senior,High,Rare
30,0,3,"Passenger_30, Mr/Mrs. John",female,59.0,0,0,A/5 35345,33.76556255306033,S,0,1,1,Middle-aged,High,Rare
31,0,3,"Passenger_31, Mr/Mrs. John",male,67.0,0,0,A/5 60390,48.37697811613928,C,0,1,1,Senior,Very High,Rare
32,1,3,"Passenger_32, Mr/Mrs. John",male,29.0,1,0,A/5 69557,46.63839331764772,C,0,2,0,Adult,Very High,Rare
33,0,3,"Passenger_33, Mr/Mrs. John",male,28.0,5,0,A/5 75054,115.21460246460992,C,0,6,0,Adult,Very High,Rare
34,1,2,"Passenger_34, Mr/Mrs. John",female,44.0,0,0,A/5 11906,10.772808979163983,S,0,1,1,Middle-aged,Medium,Rare
35,0,1,"Passenger_35, Mr/Mrs. John",male,41.0,1,2,A/5 50167,2.360502927942009,S,0,4,0,Middle-aged,Low,Rare
36,1,2,"Passenger_36, Mr/Mrs. John",female,9.0,0,0,A/5 17961,13.571952053394131,C,0,1,1,Child,Medium,Rare
37,1,3,"Passenger_37, Mr/Mrs. John",male,56.0,0,0,A/5 36140,43.51442140898395,C,0,1,1,Middle-aged,High,Rare
38,1,3,"Passenger_38, Mr/Mrs. John",male,50.0,0,0,A/5 68701,18.44646771662216,S,0,1,1,Middle-aged,Medium,Rare
39,1,2,"Passenger_39, Mr/Mrs. John",male,32.0,0,0,A/5 87567,54.48277752834204,C,0,1,1,Adult,Very High,Rare
40,1,1,"Passenger_40, Mr/Mrs. John",male,41.0,1,0,A/5 90664,25.50437917764862,S,0,2,0,Middle-aged,High,Rare
41,0,3,"Passenger_41, Mr/Mrs. John",male,59.0,0,3,A/5 91199,85.00125003695874,C,0,4,0,Middle-aged,Very High,Rare
42,0,3,"Passenger_42, Mr/Mrs. John",female,71.0,0,0,A/5 91218,94.52444439085184,C,0,1,1,Senior,Very High,Rare
43,0,3,"Passenger_43, Mr/Mrs. John",male,41.0,0,0,A/5 90729,2.298340138863197,S,0,1,1,Middle-aged,Low,Rare
44,0,1,"Passenger_44, Mr/Mrs. John",male,10.0,0,0,A/5 38561,19.50612225739422,S,1,1,1,Child,Medium,Rare
45,0,2,"Passenger_45, Mr/Mrs. John",male,11.0,0,0,A/5 60568,30.10597051741227,S,0,1,1,Child,High,Rare
46,1,1,"Passenger_46, Mr/Mrs. John",female,72.0,1,0,A/5 83302,9.457374166699436,S,1,2,0,Senior,Low,Rare
47,0,3,"Passenger_47, Mr/Mrs. John",female,28.0,1,0,A/5 39504,16.72609166573847,S,0,2,0,Adult,Medium,Rare
48,0,1,"Passenger_48, Mr/Mrs. John",male,65.0,1,0,A/5 47146,36.23088702203692,S,0,2,0,Senior,High,Rare
49,0,3,"Passenger_49, Mr/Mrs. John",female,52.0,1,1,A/5 50297,8.228239013592828,S,1,3,0,Middle-aged,Low,Rare
50,0,2,"Passenger_50, Mr/Mrs. John",male,54.0,0,0,A/5 96394,29.48020553511129,S,0,1,1,Middle-aged,High,Rare
51,0,3,"Passenger_51, Mr/Mrs. John",male,47.0,1,0,A/5 78607,38.25604952012675,S,0,2,0,Middle-aged,High,Rare
52,0,3,"Passenger_52, Mr/Mrs. John",female,41.0,0,0,A/5 26939,3.0353992020104057,S,1,1,1,Middle-aged,Low,Rare
53,0,3,"Passenger_53, Mr/Mrs. John",female,26.0,0,1,A/5 60715,22.02297539532514,C,0,2,0,Adult,Medium,Rare
54,1,1,"Passenger_54, Mr/Mrs. John",female,41.0,0,0,A/5 54460,9.76883140671804,Q,0,1,1,Middle-aged,Medium,Rare
55,0,1,"Passenger_55, Mr/Mrs. John",male,41.0,0,0,A/5 76576,41.24016750495174,C,0,1,1,Middle-aged,High,Rare
56,1,1,"Passenger_56, Mr/Mrs. John",male,75.0,0,0,A/5 78222,6.7255176618845685,C,0,1,1,Senior,Low,Rare
57,1,3,"Passenger_57, Mr/Mrs. John",female,41.0,0,0,A/5 22666,71.2905409122668,S,0,1,1,Middle-aged,Very High,Rare
58,0,3,"Passenger_58, Mr/Mrs. John",male,38.0,1,0,A/5 72119,18.04069602897173,S,0,2,0,Middle-aged,Medium,Rare
59,0,3,"Passenger_59, Mr/Mrs. John",male,15.0,0,1,A/5 45321,7.06081438595542,S,0,2,0,Teenager,Low,Rare
60,0,3,"Passenger_60, Mr/Mrs. John",male,21.0,0,0,A/5 11779,18.441350828225865,S,0,1,1,Adult,Medium,Rare
61,1,3,"Passenger_61, Mr/Mrs. John",male,6.0,2,0,A/5 23186,16.81618528225869,S,0,3,0,Child,Medium,Rare
62,0,1,"Passenger_62, Mr/Mrs. John",male,62.0,0,0,A/5 26459,17.927172866091265,S,0,1,1,Senior,Medium,Rare
63,0,3,"Passenger_63, Mr/Mrs. John",female,74.0,0,1,A/5 96246,28.186566037642965,S,1,2,0,Senior,High,Rare
64,0,2,"Passenger_64, Mr/Mrs. John",male,41.0,0,0,A/5 97755,23.56535775514083,S,0,1,1,Middle-aged,High,Rare
65,0,2,"Passenger_65, Mr/Mrs. John",male,3.0,0,0,A/5 15057,5.192216506982453,C,0,1,1,Child,Low,Rare
66,0,3,"Passenger_66, Mr/Mrs. John",male,41.0,0,0,A/5 70663,2.1705046589034747,S,0,1,1,Middle-aged,Low,Rare
67,1,1,"Passenger_67, Mr/Mrs. John",female,44.0,0,0,A/5 28733,41.82946097640973,S,0,1,1,Middle-aged,High,Rare
68,0,1,"Passenger_68, Mr/Mrs. John",male,33.0,0,0,A/5 29157,26.2508341476564,S,1,1,1,Adult,High,Rare
69,0,3,"Passenger_69, Mr/Mrs. John",male,41.0,0,0,A/5 45030,14.231264650040524,C,0,1,1,Middle-aged,Medium,Rare
70,1,1,"Passenger_70, Mr/Mrs. John",female,50.0,0,0,A/5 29613,52.86800974628125,C,0,1,1,Middle-aged,Very High,Rare
71,0,3,"Passenger_71, Mr/Mrs. John",female,28.0,0,0,A/5 93028,15.715793510805506,S,0,1,1,Adult,Medium,Rare
72,1,2,"Passenger_72, Mr/Mrs. John",female,41.0,0,0,A/5 96282,50.86285345184323,S,1,1,1,Middle-aged,Very High,Rare
73,0,2,"Passenger_73, Mr/Mrs. John",female,41.0,1,0,A/5 15188,11.677823325545688,S,1,2,0,Middle-aged,Medium,Rare
74,1,2,"Passenger_74, Mr/Mrs. John",male,48.0,0,0,A/5 39680,2.420314952817144,S,0,1,1,Middle-aged,Low,Rare
75,0,2,"Passenger_75, Mr/Mrs. John",female,59.0,0,1,A/5 70119,86.32637962665213,Q,1,2,0,Middle-aged,Very High,Rare
76,1,3,"Passenger_76, Mr/Mrs. John",male,76.0,1,2,A/5 84400,16.05712515126238,S,1,4,0,Senior,Medium,Rare
77,1,2,"Passenger_77, Mr/Mrs. John",female,18.0,0,3,A/5 65718,50.353677828870296,S,0,4,0,Teenager,Very High,Rare
78,0,3,"Passenger_78, Mr/Mrs. John",female,55.0,0,1,A/5 46445,10.474114210021408,S,0,2,0,Middle-aged,Medium,Rare
79,0,3,"Passenger_79, Mr/Mrs. John",female,26.0,0,0,A/5 15796,33.26368922486514,S,0,1,1,Adult,High,Rare
80,0,3,"Passenger_80, Mr/Mrs. John",female,41.0,1,0,A/5 57218,66.11260845638886,S,0,2,0,Middle-aged,Very High,Rare
81,1,3,"Passenger_81, Mr/Mrs. John",male,29.0,1,0,A/5 49131,1.361151546730364,S,0,2,0,Adult,Low,Rare
82,0,3,"Passenger_82, Mr/Mrs. John",male,17.0,0,0,A/5 18123,56.82251663072392,C,0,1,1,Teenager,Very High,Rare
83,0,1,"Passenger_83, Mr/Mrs. John",female,66.0,1,0,A/5 18222,27.10639669909082,S,1,2,0,Senior,High,Rare
84,0,1,"Passenger_84, Mr/Mrs. John",female,8.0,0,0,A/5 34074,29.92469695311501,S,0,1,1,Child,High,Rare
85,0,2,"Passenger_85, Mr/Mrs. John",male,41.0,0,0,A/5 39825,23.69824260967615,S,0,1,1,Middle-aged,High,Rare
86,1,3,"Passenger_86, Mr/Mrs. John",male,65.0,0,0,A/5 46839,66.40803711600095,S,0,1,1,Senior,Very High,Rare
87,1,1,"Passenger_87, Mr/Mrs. John",male,59.0,0,0,A/5 78322,1.420954206864159,S,0,1,1,Middle-aged,Low,Rare
88,0,3,"Passenger_88, Mr/Mrs. John",female,44.0,1,2,A/5 66321,9.67986488414941,C,0,4,0,Middle-aged,Low,Rare
89,0,3,"Passenger_89, Mr/Mrs. John",female,41.0,0,0,A/5 35988,66.73793713501664,S,1,1,1,Middle-aged,Very High,Rare
90,0,2,"Passenger_90, Mr/Mrs. John",male,41.0,0,0,A/5 45507,44.66308694746135,S,0,1,1,Middle-aged,High,Rare
91,0,3,"Passenger_91, Mr/Mrs. John",male,28.0,2,2,A/5 33806,0.5696861402578246,Q,0,5,0,Adult,Low,Rare
92,0,1,"Passenger_92, Mr/Mrs. John",female,43.0,0,0,A/5 46901,23.288052292157804,S,0,1,1,Middle-aged,High,Rare
93,0,1,"Passenger_93, Mr/Mrs. John",female,41.0,0,0,A/5 27043,24.131641835771347,S,1,1,1,Middle-aged,High,Rare
94,0,3,"Passenger_94, Mr/Mrs. John",male,66.0,0,0,A/5 85761,16.393501786264338,C,1,1,1,Senior,Medium,Rare
95,0,3,"Passenger_95, Mr/Mrs. John",male,48.0,1,0,A/5 19752,11.29465756222982,S,0,2,0,Middle-aged,Medium,Rare
96,1,3,"Passenger_96, Mr/Mrs. John",male,41.0,1,1,A/5 78993,36.6348486412653,S,0,3,0,Middle-aged,High,Rare
97,0,2,"Passenger_97, Mr/Mrs. John",male,67.0,0,0,A/5 52616,7.453739436546325,S,1,1,1,Senior,Low,Rare
98,0,2,"Passenger_98, Mr/Mrs. John",male,45.0,0,0,A/5 62127,51.33422379428635,S,0,1,1,Middle-aged,Very High,Rare
99,0,3,"Passenger_99, Mr/Mrs. John",female,41.0,0,0,A/5 84777,51.99168644400238,C,0,1,1,Middle-aged,Very High,Rare
100,1,3,"Passenger_100, Mr/Mrs. John",female,27.0,1,0,A/5 10453,17.170893871185545,S,0,2,0,Adult,Medium,Rare
101,0,3,"Passenger_101, Mr/Mrs. John",male,1.0,0,2,A/5 85432,10.67020932829178,S,0,3,0,Child,Medium,Rare
102,0,2,"Passenger_102, Mr/Mrs. John",female,41.0,0,0,A/5 97362,10.684959649602778,S,0,1,1,Middle-aged,Medium,Rare
103,0,3,"Passenger_103, Mr/Mrs. John",male,67.0,2,0,A/5 20976,21.066963086937715,S,0,3,0,Senior,Medium,Rare
104,0,2,"Passenger_104, Mr/Mrs. John",male,35.0,0,0,A/5 80404,40.68684912280291,S,0,1,1,Adult,High,Rare
105,1,1,"Passenger_105, Mr/Mrs. John",male,41.0,0,0,A/5 91932,14.22467176949834,S,0,1,1,Middle-aged,Medium,Rare
106,1,3,"Passenger_106, Mr/Mrs. John",male,78.0,0,2,A/5 87707,30.135030023505912,S,0,3,0,Senior,High,Rare
107,1,1,"Passenger_107, Mr/Mrs. John",female,45.0,2,0,A/5 99647,15.42563346394269,S,0,3,0,Middle-aged,Medium,Rare
108,0,3,"Passenger_108, Mr/Mrs. John",female,53.0,0,0,A/5 43688,11.621043515939082,S,0,1,1,Middle-aged,Medium,Rare
109,0,2,"Passenger_109, Mr/Mrs. John",male,68.0,0,0,A/5 96840,0.8055594279521299,S,0,1,1,Senior,Low,Rare
110,1,1,"Passenger_110, Mr/Mrs. John",male,1.0,0,1,A/5 12017,0.1254971486218034,S,1,2,0,Child,Low,Rare
111,0,3,"Passenger_111, Mr/Mrs. John",female,41.0,0,0,A/5 17957,8.247837798912114,C,1,1,1,Middle-aged,Low,Rare
112,1,3,"Passenger_112, Mr/Mrs. John",male,10.0,0,1,A/5 14792,16.68992570102651,C,0,2,0,Child,Medium,Rare
113,0,3,"Passenger_113, Mr/Mrs. John",male,41.0,0,0,A/5 65982,60.97802598648226,S,1,1,1,Middle-aged,Very High,Rare
114,0,3,"Passenger_114, Mr/Mrs. John",female,41.0,5,2,A/5 23237,51.26040645748228,S,1,8,0,Middle-aged,Very High,Rare
115,1,3,"Passenger_115, Mr/Mrs. John",male,41.0,0,0,A/5 61586,9.9467220183085,S,0,1,1,Middle-aged,Medium,Rare
116,0,3,"Passenger_116, Mr/Mrs. John",male,41.0,0,0,A/5 91787,8.973728963761706,S,0,1,1,Middle-aged,Low,Rare
117,1,3,"Passenger_117, Mr/Mrs. John",male,41.0,0,0,A/5 29252,8.252574976636266,S,0,1,1,Middle-aged,Low,Rare
118,0,2,"Passenger_118, Mr/Mrs. John",female,69.0,0,0,A/5 20707,13.25953812596082,C,0,1,1,Senior,Medium,Rare
119,0,3,"Passenger_119, Mr/Mrs. John",male,56.0,1,2,A/5 44206,22.06563498760088,S,0,4,0,Middle-aged,Medium,Rare
120,0,1,"Passenger_120, Mr/Mrs. John",male,76.0,0,1,A/5 13543,18.478154944873744,Q,0,2,0,Senior,Medium,Rare
121,0,3,"Passenger_121, Mr/Mrs. John",female,19.0,0,0,A/5 54135,7.879998673041167,Q,0,1,1,Adult,Low,Rare
122,0,3,"Passenger_122, Mr/Mrs. John",male,41.0,0,0,A/5 45031,4.472994047780365,S,0,1,1,Middle-aged,Low,Rare
123,0,1,"Passenger_123, Mr/Mrs. John",female,71.0,0,0,A/5 52929,0.4050426485093661,S,0,1,1,Senior,Low,Rare
124,0,3,"Passenger_124, Mr/Mrs. John",male,5.0,0,0,A/5 75747,5.350158950626986,S,0,1,1,Child,Low,Rare
125,0,3,"Passenger_125, Mr/Mrs. John",female,4.0,0,0,A/5 67851,39.10363799873841,S,0,1,1,Child,High,Rare
126,1,1,"Passenger_126, Mr/Mrs. John",male,15.0,1,0,A/5 65311,8.935549893491144,C,1,2,0,Teenager,Low,Rare
127,1,3,"Passenger_127, Mr/Mrs. John",male,8.0,2,0,A/5 75867,20.231796863615592,S,1,3,0,Child,Medium,Rare
128,0,3,"Passenger_128, Mr/Mrs. John",male,41.0,0,0,A/5 98780,28.63285438659597,S,0,1,1,Middle-aged,High,Rare
129,0,1,"Passenger_129, Mr/Mrs. John",male,46.0,2,0,A/5 67196,69.72673635020928,S,0,3,0,Middle-aged,Very High,Rare
130,0,3,"Passenger_130, Mr/Mrs. John",female,68.0,0,0,A/5 83705,70.30145629153355,S,0,1,1,Senior,Very High,Rare
131,1,2,"Passenger_131, Mr/Mrs. John",female,37.0,0,0,A/5 67894,43.819944590256384,S,0,1,1,Middle-aged,High,Rare
132,0,3,"Passenger_132, Mr/Mrs. John",male,24.0,0,3,A/5 97640,1.1452760620347826,S,1,4,0,Adult,Low,Rare
133,0,3,"Passenger_133, Mr/Mrs. John",male,63.0,0,0,A/5 24591,27.38661810405864,S,1,1,1,Senior,High,Rare
134,0,3,"Passenger_134, Mr/Mrs. John",female,24.0,0,0,A/5 58893,49.42430357893881,S,0,1,1,Adult,Very High,Rare
135,0,3,"Passenger_135, Mr/Mrs. John",female,4.0,0,0,A/5 10727,0.5580552955025118,S,1,1,1,Child,Low,Rare
136,0,3,"Passenger_136, Mr/Mrs. John",male,41.0,0,1,A/5 31359,25.5298266612316,C,1,2,0,Middle-aged,High,Rare
137,0,3,"Passenger_137, Mr/Mrs. John",male,53.0,0,0,A/5 53822,62.40859692979281,C,0,1,1,Middle-aged,Very High,Rare
138,1,2,"Passenger_138, Mr/Mrs. John",male,23.0,0,0,A/5 98534,20.56474065962364,Q,0,1,1,Adult,Medium,Rare
139,0,3,"Passenger_139, Mr/Mrs. John",female,53.0,1,0,A/5 20929,0.1316690079349741,C,0,2,0,Middle-aged,Low,Rare
140,1,1,"Passenger_140, Mr/Mrs. John",male,57.0,0,0,A/5 70091,0.3543825395929452,C,0,1,1,Middle-aged,Low,Rare
141,0,3,"Passenger_141, Mr/Mrs. John",male,60.0,0,0,A/5 90378,17.246207834253863,S,0,1,1,Middle-aged,Medium,Rare
142,0,1,"Passenger_142, Mr/Mrs. John",male,57.0,0,1,A/5 33519,5.38972508721613,C,0,2,0,Middle-aged,Low,Rare
143,1,1,"Passenger_143, Mr/Mrs. John",female,7.0,0,1,A/5 27393,34.943560340389546,S,1,2,0,Child,High,Rare
144,1,1,"Passenger_144, Mr/Mrs. John",male,61.0,1,0,A/5 44318,39.47975802566584,S,0,2,0,Senior,High,Rare
145,0,3,"Passenger_145, Mr/Mrs. John",male,51.0,0,0,A/5 84531,6.267797132298508,S,0,1,1,Middle-aged,Low,Rare
146,0,2,"Passenger_146, Mr/Mrs. John",male,41.0,0,2,A/5 57934,70.20893710228874,S,0,3,0,Middle-aged,Very High,Rare
147,0,3,"Passenger_147, Mr/Mrs. John",male,41.0,1,0,A/5 91103,18.66339769182274,S,1,2,0,Middle-aged,Medium,Rare
148,1,1,"Passenger_148, Mr/Mrs. John",male,36.0,0,1,A/5 38840,4.932402307319762,S,0,2,0,Middle-aged,Low,Rare
149,0,2,"Passenger_149, Mr/Mrs. John",male,69.0,0,0,A/5 99367,46.23968435689024,S,0,1,1,Senior,Very High,Rare
150,0,3,"Passenger_150, Mr/Mrs. John",male,58.0,0,2,A/5 23265,49.936842468638496,Q,0,3,0,Middle-aged,Very High,Rare
151,1,3,"Passenger_151, Mr/Mrs. John",male,62.0,1,0,A/5 15424,32.63027646809181,S,1,2,0,Senior,High,Rare
152,0,2,"Passenger_152, Mr/Mrs. John",male,27.0,0,2,A/5 30625,61.4558318861107,S,0,3,0,Adult,Very High,Rare
153,1,3,"Passenger_153, Mr/Mrs. John",female,57.0,0,0,A/5 89622,42.78465273364636,C,0,1,1,Middle-aged,High,Rare
154,0,3,"Passenger_154, Mr/Mrs. John",female,47.0,0,0,A/5 39187,68.4421027861138,S,0,1,1,Middle-aged,Very High,Rare
155,0,3,"Passenger_155, Mr/Mrs. John",male,39.0,0,2,A/5 45929,18.20682963655619,S,0,3,0,Middle-aged,Medium,Rare
156,0,1,"Passenger_156, Mr/Mrs. John",female,22.0,0,0,A/5 71892,44.05532064031785,C,0,1,1,Adult,High,Rare
157,1,1,"Passenger_157, Mr/Mrs. John",male,21.0,0,0,A/5 30539,265.6103357655124,C,0,1,1,Adult,Very High,Rare
158,1,3,"Passenger_158, Mr/Mrs. John",male,41.0,0,0,A/5 66630,41.303488696650426,S,0,1,1,Middle-aged,High,Rare
159,0,1,"Passenger_159, Mr/Mrs. John",male,31.0,2,1,A/5 19215,3.879864857510533,S,0,4,0,Adult,Low,Rare
160,0,3,"Passenger_160, Mr/Mrs. John",male,32.0,1,2,A/5 49385,23.37512427221513,S,1,4,0,Adult,High,Rare
161,0,3,"Passenger_161, Mr/Mrs. John",female,41.0,0,0,A/5 97580,28.324804810938183,S,0,1,1,Middle-aged,High,Rare
162,0,3,"Passenger_162, Mr/Mrs. John",female,9.0,1,1,A/5 87462,6.125298961886565,C,0,3,0,Child,Low,Rare
163,1,3,"Passenger_163, Mr/Mrs. John",female,10.0,0,0,A/5 35008,105.4052109099274,S,0,1,1,Child,Very High,Rare
164,0,3,"Passenger_164, Mr/Mrs. John",male,17.0,0,0,A/5 58928,6.178396815001273,S,0,1,1,Teenager,Low,Rare
165,0,2,"Passenger_165, Mr/Mrs. John",male,52.0,0,0,A/5 93096,6.255270973643962,S,1,1,1,Middle-aged,Low,Rare
166,1,3,"Passenger_166, Mr/Mrs. John",male,21.0,1,0,A/5 99876,78.94631319575366,S,0,2,0,Adult,Very High,Rare
167,0,2,"Passenger_167, Mr/Mrs. John",male,65.0,1,0,A/5 34976,20.027922975084223,S,1,2,0,Senior,Medium,Rare
168,0,3,"Passenger_168, Mr/Mrs. John",male,51.0,0,3,A/5 37626,2.088734570490634,S,0,4,0,Middle-aged,Low,Rare
169,0,3,"Passenger_169, Mr/Mrs. John",male,66.0,2,0,A/5 69789,29.17663094167188,S,0,3,0,Senior,High,Rare
170,1,3,"Passenger_170, Mr/Mrs. John",male,39.0,0,0,A/5 14700,29.46774588435198,C,1,1,1,Middle-aged,High,Rare
171,0,3,"Passenger_171, Mr/Mrs. John",male,1.0,1,3,A/5 73645,2.13359821645158,S,0,5,0,Child,Low,Rare
172,0,3,"Passenger_172, Mr/Mrs. John",female,41.0,3,0,A/5 83396,115.02040422768928,S,0,4,0,Middle-aged,Very High,Rare
173,1,2,"Passenger_173, Mr/Mrs. John",female,41.0,0,1,A/5 17526,25.130501919752515,C,0,2,0,Middle-aged,High,Rare
174,0,2,"Passenger_174, Mr/Mrs. John",female,57.0,1,0,A/5 49500,26.25652454513615,S,0,2,0,Middle-aged,High,Rare
175,0,3,"Passenger_175, Mr/Mrs. John",male,41.0,0,1,A/5 78049,23.49470882790959,S,1,2,0,Middle-aged,High,Rare
176,1,1,"Passenger_176, Mr/Mrs. John",male,41.0,0,0,A/5 83366,30.191573135568344,S,0,1,1,Middle-aged,High,Rare
177,1,1,"Passenger_177, Mr/Mrs. John",male,6.0,0,2,A/5 90317,9.821840512056855,S,0,3,0,Child,Medium,Rare
178,1,2,"Passenger_178, Mr/Mrs. John",female,3.0,0,0,A/5 69117,10.835597194531235,C,0,1,1,Child,Medium,Rare
179,1,2,"Passenger_179, Mr/Mrs. John",male,41.0,2,0,A/5 66096,22.914766886737592,S,0,3,0,Middle-aged,High,Rare
180,0,2,"Passenger_180, Mr/Mrs. John",male,47.0,0,0,A/5 17910,52.5900389699969,S,1,1,1,Middle-aged,Very High,Rare
181,0,1,"Passenger_181, Mr/Mrs. John",female,64.0,0,0,A/5 91383,1.6368241116233002,S,0,1,1,Senior,Low,Rare
182,1,1,"Passenger_182, Mr/Mrs. John",male,67.0,1,0,A/5 81185,29.59480588097577,S,1,2,0,Senior,High,Rare
183,1,1,"Passenger_183, Mr/Mrs. John",male,32.0,2,0,A/5 60248,52.60531934648322,S,0,3,0,Adult,Very High,Rare
184,0,3,"Passenger_184, Mr/Mrs. John",male,68.0,0,0,A/5 84656,5.4620860994581655,S,0,1,1,Senior,Low,Rare
185,0,2,"Passenger_185, Mr/Mrs. John",male,43.0,3,0,A/5 11951,0.4843687466040923,Q,1,4,0,Middle-aged,Low,Rare
186,1,2,"Passenger_186, Mr/Mrs. John",male,78.0,0,0,A/5 75212,12.000119841811218,S,0,1,1,Senior,Medium,Rare
187,0,3,"Passenger_187, Mr/Mrs. John",male,14.0,1,0,A/5 85701,28.386585383045738,S,1,2,0,Teenager,High,Rare
188,0,1,"Passenger_188, Mr/Mrs. John",male,4.0,0,0,A/5 89888,4.762514231005812,S,1,1,1,Child,Low,Rare
189,0,3,"Passenger_189, Mr/Mrs. John",male,29.0,0,0,A/5 85282,17.770851047625353,S,1,1,1,Adult,Medium,Rare
190,0,3,"Passenger_190, Mr/Mrs. John",female,49.0,0,0,A/5 51954,25.71775783209648,C,0,1,1,Middle-aged,High,Rare
191,1,1,"Passenger_191, Mr/Mrs. John",male,65.0,0,0,A/5 99719,29.232075516556684,S,1,1,1,Senior,High,Rare
192,1,2,"Passenger_192, Mr/Mrs. John",male,6.0,0,0,A/5 18804,10.264721082889968,C,0,1,1,Child,Medium,Rare
193,0,3,"Passenger_193, Mr/Mrs. John",male,41.0,0,0,A/5 10595,16.348000585483714,C,0,1,1,Middle-aged,Medium,Rare
194,0,3,"Passenger_194, Mr/Mrs. John",female,62.0,0,1,A/5 39592,48.21142798865166,S,0,2,0,Senior,Very High,Rare
195,0,3,"Passenger_195, Mr/Mrs. John",male,76.0,1,0,A/5 50643,90.6836273702216,S,1,2,0,Senior,Very High,Rare
