PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
39,1,2,"Passenger_39, Mr/Mrs. John",male,32.0,0,0,A/5 87567,54.48277752834204,,C
40,1,1,"Passenger_40, Mr/Mrs. John",male,,1,0,A/5 90664,25.50437917764862,,S
41,0,3,"Passenger_41, Mr/Mrs. John",male,59.0,0,3,A/5 91199,85.00125003695874,,C
42,0,3,"Passenger_42, Mr/Mrs. John",female,71.0,0,0,A/5 91218,94.52444439085184,,C
43,0,3,"Passenger_43, Mr/Mrs. John",male,,0,0,A/5 90729,2.2983401388631974,,S
44,0,1,"Passenger_44, Mr/Mrs. John",male,10.0,0,0,A/5 38561,19.50612225739422,A160,S
45,0,2,"Passenger_45, Mr/Mrs. John",male,11.0,0,0,A/5 60568,30.10597051741227,,S
46,1,1,"Passenger_46, Mr/Mrs. John",female,72.0,1,0,A/5 83302,9.457374166699436,D72,S
47,0,3,"Passenger_47, Mr/Mrs. John",female,28.0,1,0,A/5 39504,16.72609166573847,,S
48,0,1,"Passenger_48, Mr/Mrs. John",male,65.0,1,0,A/5 47146,36.23088702203692,,S
49,0,3,"Passenger_49, Mr/Mrs. John",female,52.0,1,1,A/5 50297,8.228239013592828,B19,S
50,0,2,"Passenger_50, Mr/Mrs. John",male,54.0,0,0,A/5 96394,29.480205535111292,,S
51,0,3,"Passenger_51, Mr/Mrs. John",male,47.0,1,0,A/5 78607,38.25604952012675,,S
52,0,3,"Passenger_52, Mr/Mrs. John",female,,0,0,A/5 26939,3.0353992020104057,F17,S
53,0,3,"Passenger_53, Mr/Mrs. John",female,26.0,0,1,A/5 60715,22.02297539532514,,C
54,1,1,"Passenger_54, Mr/Mrs. John",female,,0,0,A/5 54460,9.76883140671804,,Q
55,0,1,"Passenger_55, Mr/Mrs. John",male,,0,0,A/5 76576,41.24016750495174,,C
56,1,1,"Passenger_56, Mr/Mrs. John",male,75.0,0,0,A/5 78222,6.7255176618845685,,C
57,1,3,"Passenger_57, Mr/Mrs. John",female,,0,0,A/5 22666,71.2905409122668,,S
58,0,3,"Passenger_58, Mr/Mrs. John",male,38.0,1,0,A/5 72119,18.040696028971734,,S
59,0,3,"Passenger_59, Mr/Mrs. John",male,15.0,0,1,A/5 45321,7.06081438595542,,S
60,0,3,"Passenger_60, Mr/Mrs. John",male,21.0,0,0,A/5 11779,18.441350828225865,,S
61,1,3,"Passenger_61, Mr/Mrs. John",male,6.0,2,0,A/5 23186,16.81618528225869,,S
62,0,1,"Passenger_62, Mr/Mrs. John",male,62.0,0,0,A/5 26459,17.927172866091265,,S
63,0,3,"Passenger_63, Mr/Mrs. John",female,74.0,0,1,A/5 96246,28.186566037642965,E4,S
64,0,2,"Passenger_64, Mr/Mrs. John",male,,0,0,A/5 97755,23.56535775514083,,S
65,0,2,"Passenger_65, Mr/Mrs. John",male,3.0,0,0,A/5 15057,5.192216506982453,,C
66,0,3,"Passenger_66, Mr/Mrs. John",male,,0,0,A/5 70663,2.1705046589034747,,S
67,1,1,"Passenger_67, Mr/Mrs. John",female,44.0,0,0,A/5 28733,41.82946097640973,,S
68,0,1,"Passenger_68, Mr/Mrs. John",male,33.0,0,0,A/5 29157,26.2508341476564,A31,S
69,0,3,"Passenger_69, Mr/Mrs. John",male,,0,0,A/5 45030,14.231264650040524,,C
70,1,1,"Passenger_70, Mr/Mrs. John",female,50.0,0,0,A/5 29613,52.86800974628125,,C
71,0,3,"Passenger_71, Mr/Mrs. John",female,28.0,0,0,A/5 93028,15.715793510805506,,S
72,1,2,"Passenger_72, Mr/Mrs. John",female,41.0,0,0,A/5 96282,50.86285345184323,F188,S
73,0,2,"Passenger_73, Mr/Mrs. John",female,,1,0,A/5 15188,11.677823325545688,C116,S
74,1,2,"Passenger_74, Mr/Mrs. John",male,48.0,0,0,A/5 39680,2.4203149528171437,,S
75,0,2,"Passenger_75, Mr/Mrs. John",female,59.0,0,1,A/5 70119,86.32637962665213,B80,Q
76,1,3,"Passenger_76, Mr/Mrs. John",male,76.0,1,2,A/5 84400,16.05712515126238,F68,S
77,1,2,"Passenger_77, Mr/Mrs. John",female,18.0,0,3,A/5 65718,50.353677828870296,,S
78,0,3,"Passenger_78, Mr/Mrs. John",female,55.0,0,1,A/5 46445,10.474114210021407,,S
79,0,3,"Passenger_79, Mr/Mrs. John",female,26.0,0,0,A/5 15796,33.26368922486514,,S
80,0,3,"Passenger_80, Mr/Mrs. John",female,,1,0,A/5 57218,66.11260845638886,,S
81,1,3,"Passenger_81, Mr/Mrs. John",male,29.0,1,0,A/5 49131,1.361151546730364,,S
82,0,3,"Passenger_82, Mr/Mrs. John",male,17.0,0,0,A/5 18123,56.82251663072392,,C
83,0,1,"Passenger_83, Mr/Mrs. John",female,66.0,1,0,A/5 18222,27.10639669909082,A27,S
84,0,1,"Passenger_84, Mr/Mrs. John",female,8.0,0,0,A/5 34074,29.92469695311501,,S
85,0,2,"Passenger_85, Mr/Mrs. John",male,,0,0,A/5 39825,23.69824260967615,,S
86,1,3,"Passenger_86, Mr/Mrs. John",male,65.0,0,0,A/5 46839,66.40803711600095,,S
87,1,1,"Passenger_87, Mr/Mrs. John",male,59.0,0,0,A/5 78322,1.420954206864159,,S
88,0,3,"Passenger_88, Mr/Mrs. John",female,44.0,1,2,A/5 66321,9.67986488414941,,C
89,0,3,"Passenger_89, Mr/Mrs. John",female,,0,0,A/5 35988,66.73793713501664,F41,S
90,0,2,"Passenger_90, Mr/Mrs. John",male,,0,0,A/5 45507,44.663086947461345,,S
91,0,3,"Passenger_91, Mr/Mrs. John",male,28.0,2,2,A/5 33806,0.5696861402578246,,Q
92,0,1,"Passenger_92, Mr/Mrs. John",female,43.0,0,0,A/5 46901,23.288052292157804,,S
93,0,1,"Passenger_93, Mr/Mrs. John",female,,0,0,A/5 27043,24.131641835771347,C182,S
94,0,3,"Passenger_94, Mr/Mrs. John",male,66.0,0,0,A/5 85761,16.393501786264338,C25,C
95,0,3,"Passenger_95, Mr/Mrs. John",male,48.0,1,0,A/5 19752,11.294657562229819,,S
96,1,3,"Passenger_96, Mr/Mrs. John",male,,1,1,A/5 78993,36.6348486412653,,S
97,0,2,"Passenger_97, Mr/Mrs. John",male,67.0,0,0,A/5 52616,7.453739436546325,B117,S
98,0,2,"Passenger_98, Mr/Mrs. John",male,45.0,0,0,A/5 62127,51.33422379428635,,S
99,0,3,"Passenger_99, Mr/Mrs. John",female,,0,0,A/5 84777,51.99168644400238,,C
100,1,3,"Passenger_100, Mr/Mrs. John",female,27.0,1,0,A/5 10453,17.170893871185545,,S
101,0,3,"Passenger_101, Mr/Mrs. John",male,1.0,0,2,A/5 85432,10.67020932829178,,S
102,0,2,"Passenger_102, Mr/Mrs. John",female,,0,0,A/5 97362,10.684959649602778,,S
103,0,3,"Passenger_103, Mr/Mrs. John",male,67.0,2,0,A/5 20976,21.066963086937715,,S
104,0,2,"Passenger_104, Mr/Mrs. John",male,35.0,0,0,A/5 80404,40.68684912280291,,S
105,1,1,"Passenger_105, Mr/Mrs. John",male,,0,0,A/5 91932,14.22467176949834,,S
106,1,3,"Passenger_106, Mr/Mrs. John",male,78.0,0,2,A/5 87707,30.135030023505912,,S
107,1,1,"Passenger_107, Mr/Mrs. John",female,45.0,2,0,A/5 99647,15.42563346394269,,S
108,0,3,"Passenger_108, Mr/Mrs. John",female,53.0,0,0,A/5 43688,11.621043515939082,,S
109,0,2,"Passenger_109, Mr/Mrs. John",male,68.0,0,0,A/5 96840,0.8055594279521299,,S
110,1,1,"Passenger_110, Mr/Mrs. John",male,1.0,0,1,A/5 12017,0.12549714862180347,E144,S
111,0,3,"Passenger_111, Mr/Mrs. John",female,,0,0,A/5 17957,8.247837798912114,E64,C
112,1,3,"Passenger_112, Mr/Mrs. John",male,10.0,0,1,A/5 14792,16.68992570102651,,C
113,0,3,"Passenger_113, Mr/Mrs. John",male,41.0,0,0,A/5 65982,60.97802598648226,E12,S
114,0,3,"Passenger_114, Mr/Mrs. John",female,,5,2,A/5 23237,51.260406457482276,C33,S
115,1,3,"Passenger_115, Mr/Mrs. John",male,,0,0,A/5 61586,9.946722018308499,,S
116,0,3,"Passenger_116, Mr/Mrs. John",male,,0,0,A/5 91787,8.973728963761706,,S
117,1,3,"Passenger_117, Mr/Mrs. John",male,41.0,0,0,A/5 29252,8.252574976636266,,S
118,0,2,"Passenger_118, Mr/Mrs. John",female,69.0,0,0,A/5 20707,13.25953812596082,,C
119,0,3,"Passenger_119, Mr/Mrs. John",male,56.0,1,2,A/5 44206,22.065634987600877,,S
120,0,1,"Passenger_120, Mr/Mrs. John",male,76.0,0,1,A/5 13543,18.478154944873744,,Q
121,0,3,"Passenger_121, Mr/Mrs. John",female,19.0,0,0,A/5 54135,7.879998673041167,,Q
122,0,3,"Passenger_122, Mr/Mrs. John",male,,0,0,A/5 45031,4.472994047780365,,S
123,0,1,"Passenger_123, Mr/Mrs. John",female,71.0,0,0,A/5 52929,0.40504264850936617,,S
124,0,3,"Passenger_124, Mr/Mrs. John",male,5.0,0,0,A/5 75747,5.350158950626986,,S
125,0,3,"Passenger_125, Mr/Mrs. John",female,4.0,0,0,A/5 67851,39.10363799873841,,S
126,1,1,"Passenger_126, Mr/Mrs. John",male,15.0,1,0,A/5 65311,8.935549893491144,F189,C
127,1,3,"Passenger_127, Mr/Mrs. John",male,8.0,2,0,A/5 75867,20.231796863615592,F138,S
128,0,3,"Passenger_128, Mr/Mrs. John",male,,0,0,A/5 98780,28.632854386595966,,S
129,0,1,"Passenger_129, Mr/Mrs. John",male,46.0,2,0,A/5 67196,69.72673635020928,,S
130,0,3,"Passenger_130, Mr/Mrs. John",female,68.0,0,0,A/5 83705,70.30145629153355,,S
131,1,2,"Passenger_131, Mr/Mrs. John",female,37.0,0,0,A/5 67894,43.819944590256384,,S
132,0,3,"Passenger_132, Mr/Mrs. John",male,24.0,0,3,A/5 97640,1.1452760620347826,A118,S
133,0,3,"Passenger_133, Mr/Mrs. John",male,63.0,0,0,A/5 24591,27.38661810405864,A180,S
134,0,3,"Passenger_134, Mr/Mrs. John",female,24.0,0,0,A/5 58893,49.42430357893881,,S
135,0,3,"Passenger_135, Mr/Mrs. John",female,4.0,0,0,A/5 10727,0.5580552955025118,E123,S
136,0,3,"Passenger_136, Mr/Mrs. John",male,,0,1,A/5 31359,25.529826661231596,E136,C
137,0,3,"Passenger_137, Mr/Mrs. John",male,53.0,0,0,A/5 53822,62.40859692979281,,C
138,1,2,"Passenger_138, Mr/Mrs. John",male,23.0,0,0,A/5 98534,20.564740659623638,,Q
139,0,3,"Passenger_139, Mr/Mrs. John",female,53.0,1,0,A/5 20929,0.1316690079349741,,C
140,1,1,"Passenger_140, Mr/Mrs. John",male,57.0,0,0,A/5 70091,0.35438253959294524,,C
141,0,3,"Passenger_141, Mr/Mrs. John",male,60.0,0,0,A/5 90378,17.246207834253863,,S
142,0,1,"Passenger_142, Mr/Mrs. John",male,57.0,0,1,A/5 33519,5.38972508721613,,C
143,1,1,"Passenger_143, Mr/Mrs. John",female,7.0,0,1,A/5 27393,34.943560340389546,G69,S
144,1,1,"Passenger_144, Mr/Mrs. John",male,61.0,1,0,A/5 44318,39.47975802566584,,S
145,0,3,"Passenger_145, Mr/Mrs. John",male,51.0,0,0,A/5 84531,6.267797132298508,,S
146,0,2,"Passenger_146, Mr/Mrs. John",male,,0,2,A/5 57934,70.20893710228874,,S
147,0,3,"Passenger_147, Mr/Mrs. John",male,,1,0,A/5 91103,18.66339769182274,E66,S
148,1,1,"Passenger_148, Mr/Mrs. John",male,36.0,0,1,A/5 38840,4.932402307319762,,S
149,0,2,"Passenger_149, Mr/Mrs. John",male,69.0,0,0,A/5 99367,46.23968435689024,,S
150,0,3,"Passenger_150, Mr/Mrs. John",male,58.0,0,2,A/5 23265,49.936842468638496,,Q
151,1,3,"Passenger_151, Mr/Mrs. John",male,62.0,1,0,A/5 15424,32.63027646809181,G110,S
152,0,2,"Passenger_152, Mr/Mrs. John",male,27.0,0,2,A/5 30625,61.4558318861107,,S
153,1,3,"Passenger_153, Mr/Mrs. John",female,57.0,0,0,A/5 89622,42.78465273364636,,C
154,0,3,"Passenger_154, Mr/Mrs. John",female,47.0,0,0,A/5 39187,68.4421027861138,,S
155,0,3,"Passenger_155, Mr/Mrs. John",male,39.0,0,2,A/5 45929,18.20682963655619,,S
156,0,1,"Passenger_156, Mr/Mrs. John",female,22.0,0,0,A/5 71892,44.05532064031785,,C
157,1,1,"Passenger_157, Mr/Mrs. John",male,21.0,0,0,A/5 30539,265.6103357655124,,C
158,1,3,"Passenger_158, Mr/Mrs. John",male,,0,0,A/5 66630,41.303488696650426,,S
159,0,1,"Passenger_159, Mr/Mrs. John",male,31.0,2,1,A/5 19215,3.879864857510533,,S
160,0,3,"Passenger_160, Mr/Mrs. John",male,32.0,1,2,A/5 49385,23.375124272215132,D163,S
161,0,3,"Passenger_161, Mr/Mrs. John",female,,0,0,A/5 97580,28.324804810938186,,S
162,0,3,"Passenger_162, Mr/Mrs. John",female,9.0,1,1,A/5 87462,6.125298961886565,,C
163,1,3,"Passenger_163, Mr/Mrs. John",female,10.0,0,0,A/5 35008,105.40521090992739,,S
164,0,3,"Passenger_164, Mr/Mrs. John",male,17.0,0,0,A/5 58928,6.178396815001273,,S
165,0,2,"Passenger_165, Mr/Mrs. John",male,52.0,0,0,A/5 93096,6.255270973643962,D40,S
166,1,3,"Passenger_166, Mr/Mrs. John",male,21.0,1,0,A/5 99876,78.94631319575366,,S
167,0,2,"Passenger_167, Mr/Mrs. John",male,65.0,1,0,A/5 34976,20.027922975084223,A147,S
168,0,3,"Passenger_168, Mr/Mrs. John",male,51.0,0,3,A/5 37626,2.088734570490634,,S
169,0,3,"Passenger_169, Mr/Mrs. John",male,66.0,2,0,A/5 69789,29.17663094167188,,S
170,1,3,"Passenger_170, Mr/Mrs. John",male,39.0,0,0,A/5 14700,29.46774588435198,C115,C
171,0,3,"Passenger_171, Mr/Mrs. John",male,1.0,1,3,A/5 73645,2.13359821645158,,S
172,0,3,"Passenger_172, Mr/Mrs. John",female,,3,0,A/5 83396,115.02040422768928,,S
173,1,2,"Passenger_173, Mr/Mrs. John",female,,0,1,A/5 17526,25.130501919752515,,C
174,0,2,"Passenger_174, Mr/Mrs. John",female,57.0,1,0,A/5 49500,26.25652454513615,,S
175,0,3,"Passenger_175, Mr/Mrs. John",male,41.0,0,1,A/5 78049,23.49470882790959,F91,S
176,1,1,"Passenger_176, Mr/Mrs. John",male,,0,0,A/5 83366,30.191573135568344,,S
177,1,1,"Passenger_177, Mr/Mrs. John",male,6.0,0,2,A/5 90317,9.821840512056857,,S
178,1,2,"Passenger_178, Mr/Mrs. John",female,3.0,0,0,A/5 69117,10.835597194531235,,C
179,1,2,"Passenger_179, Mr/Mrs. John",male,,2,0,A/5 66096,22.914766886737592,,S
180,0,2,"Passenger_180, Mr/Mrs. John",male,47.0,0,0,A/5 17910,52.590038969996904,F95,S
181,0,1,"Passenger_181, Mr/Mrs. John",female,64.0,0,0,A/5 91383,1.6368241116233002,,S
182,1,1,"Passenger_182, Mr/Mrs. John",male,67.0,1,0,A/5 81185,29.59480588097577,F60,S
183,1,1,"Passenger_183, Mr/Mrs. John",male,32.0,2,0,A/5 60248,52.60531934648322,,S
184,0,3,"Passenger_184, Mr/Mrs. John",male,68.0,0,0,A/5 84656,5.4620860994581655,,S
185,0,2,"Passenger_185, Mr/Mrs. John",male,43.0,3,0,A/5 11951,0.4843687466040923,G27,Q
186,1,2,"Passenger_186, Mr/Mrs. John",male,78.0,0,0,A/5 75212,12.000119841811218,,S
187,0,3,"Passenger_187, Mr/Mrs. John",male,14.0,1,0,A/5 85701,28.386585383045738,E77,S
188,0,1,"Passenger_188, Mr/Mrs. John",male,4.0,0,0,A/5 89888,4.762514231005812,D19,S
189,0,3,"Passenger_189, Mr/Mrs. John",male,29.0,0,0,A/5 85282,17.770851047625353,F112,S
190,0,3,"Passenger_190, Mr/Mrs. John",female,49.0,0,0,A/5 51954,25.71775783209648,,C
191,1,1,"Passenger_191, Mr/Mrs. John",male,65.0,0,0,A/5 99719,29.232075516556684,G75,S
192,1,2,"Passenger_192, Mr/Mrs. John",male,6.0,0,0,A/5 18804,10.264721082889968,,C
193,0,3,"Passenger_193, Mr/Mrs. John",male,,0,0,A/5 10595,16.348000585483714,,C
194,0,3,"Passenger_194, Mr/Mrs. John",female,62.0,0,1,A/5 39592,48.21142798865166,,S
195,0,3,"Passenger_195, Mr/Mrs. John",male,76.0,1,0,A/5 50643,90.68362737022159,C137,S
196,0,3,"Passenger_196, Mr/Mrs. John",male,43.0,0,0,A/5 72665,63.348313721160046,,S
197,0,1,"Passenger_197, Mr/Mrs. John",female,20.0,0,0,A/5 30823,26.584431374721316,F90,S
198,0,3,"Passenger_198, Mr/Mrs. John",female,44.0,0,0,A/5 15972,16.90013252621862,D72,S
199,0,1,"Passenger_199, Mr/Mrs. John",male,22.0,0,0,A/5 25882,12.956806056383831,D56,S
200,0,3,"Passenger_200, Mr/Mrs. John",female,72.0,1,0,A/5 76394,4.271416163051614,,S
201,0,3,"Passenger_201, Mr/Mrs. John",male,56.0,1,0,A/5 81055,3.60532165163435,,S
202,0,3,"Passenger_202, Mr/Mrs. John",male,16.0,0,0,A/5 33769,37.30876743355347,,S
203,0,3,"Passenger_203, Mr/Mrs. John",male,51.0,0,0,A/5 35020,9.626474092246976,,S
204,1,1,"Passenger_204, Mr/Mrs. John",male,,1,0,A/5 52748,9.40534564829096,D189,Q
205,1,1,"Passenger_205, Mr/Mrs. John",female,12.0,0,0,A/5 95374,202.15119581604722,,S
206,0,1,"Passenger_206, Mr/Mrs. John",male,75.0,1,0,A/5 54912,6.661240258977906,,C
207,1,1,"Passenger_207, Mr/Mrs. John",male,,0,3,A/5 22879,5.127644635451794,A164,S
208,0,3,"Passenger_208, Mr/Mrs. John",female,6.0,1,0,A/5 43798,3.32482315610673,D38,Q
209,1,2,"Passenger_209, Mr/Mrs. John",female,57.0,0,0,A/5 99826,27.745190757835463,,S
210,1,1,"Passenger_210, Mr/Mrs. John",male,69.0,0,2,A/5 56073,31.63185384186091,,Q
211,0,3,"Passenger_211, Mr/Mrs. John",male,,2,0,A/5 85791,14.543657072341707,,C
212,1,3,"Passenger_212, Mr/Mrs. John",male,62.0,0,0,A/5 76983,24.531429192575754,,S
213,1,3,"Passenger_213, Mr/Mrs. John",female,,0,1,A/5 53005,49.69777159340759,,S
214,0,3,"Passenger_214, Mr/Mrs. John",female,69.0,0,1,A/5 12850,54.53827549370508,G176,S
215,1,1,"Passenger_215, Mr/Mrs. John",female,,0,0,A/5 38400,101.37582123326335,G43,S
216,0,2,"Passenger_216, Mr/Mrs. John",male,39.0,0,0,A/5 21953,55.64144293243211,,S
217,1,3,"Passenger_217, Mr/Mrs. John",male,13.0,0,0,A/5 33535,26.625433632608363,,C
218,0,3,"Passenger_218, Mr/Mrs. John",male,7.0,0,2,A/5 85536,6.337046139390241,,S
219,1,1,"Passenger_219, Mr/Mrs. John",male,14.0,0,0,A/5 85039,3.363130767920304,,Q
220,0,3,"Passenger_220, Mr/Mrs. John",male,54.0,1,0,A/5 91029,1.7937269192118124,,C
221,1,1,"Passenger_221, Mr/Mrs. John",female,20.0,0,1,A/5 14055,35.142075944134895,G87,C
222,1,1,"Passenger_222, Mr/Mrs. John",male,63.0,0,0,A/5 48170,52.73111944711317,,C
223,0,3,"Passenger_223, Mr/Mrs. John",male,57.0,0,0,A/5 38251,22.741365545689025,,C
224,0,3,"Passenger_224, Mr/Mrs. John",female,,0,0,A/5 14532,1.8005739752590553,,S
225,0,3,"Passenger_225, Mr/Mrs. John",male,74.0,0,0,A/5 14924,24.535371973414634,,S
226,1,1,"Passenger_226, Mr/Mrs. John",female,,0,1,A/5 58037,87.83878596772941,,S
227,0,3,"Passenger_227, Mr/Mrs. John",male,69.0,0,0,A/5 88082,29.130926124197515,C101,S
228,0,2,"Passenger_228, Mr/Mrs. John",male,41.0,0,1,A/5 81621,53.047120603173454,,Q
229,0,1,"Passenger_229, Mr/Mrs. John",male,41.0,0,0,A/5 87926,51.526446265929216,,S
230,0,3,"Passenger_230, Mr/Mrs. John",male,49.0,0,0,A/5 88816,86.08473294327075,,S
231,0,3,"Passenger_231, Mr/Mrs. John",female,3.0,0,3,A/5 99654,47.06147514544518,,S
232,0,3,"Passenger_232, Mr/Mrs. John",male,35.0,0,0,A/5 80400,44.06843074068207,A172,S
233,0,3,"Passenger_233, Mr/Mrs. John",male,24.0,0,0,A/5 20702,8.534628659226643,G174,C
234,0,3,"Passenger_234, Mr/Mrs. John",male,22.0,0,0,A/5 25385,1.9774651164448336,,S
235,1,3,"Passenger_235, Mr/Mrs. John",male,,1,1,A/5 19336,23.32737678858161,,S
236,1,1,"Passenger_236, Mr/Mrs. John",female,29.0,0,0,A/5 75421,4.252319427308957,,S
237,0,2,"Passenger_237, Mr/Mrs. John",male,20.0,0,0,A/5 41225,104.81078685222366,,S
238,1,2,"Passenger_238, Mr/Mrs. John",female,54.0,0,0,A/5 46021,10.956299086032187,,S
239,1,2,"Passenger_239, Mr/Mrs. John",female,19.0,0,0,A/5 13782,61.34218225302679,,S
240,0,3,"Passenger_240, Mr/Mrs. John",male,66.0,0,1,A/5 98877,15.693114463498476,,S
241,1,3,"Passenger_241, Mr/Mrs. John",female,34.0,0,0,A/5 99630,12.491871188883202,,C
242,0,1,"Passenger_242, Mr/Mrs. John",male,6.0,1,0,A/5 59111,87.54593807114227,,C
243,0,1,"Passenger_243, Mr/Mrs. John",male,10.0,0,0,A/5 99402,14.447748616641466,D70,S
244,0,3,"Passenger_244, Mr/Mrs. John",male,48.0,2,0,A/5 94585,15.832589268737458,,Q
245,1,1,"Passenger_245, Mr/Mrs. John",female,59.0,0,2,A/5 52719,3.588869466819464,,S
246,0,3,"Passenger_246, Mr/Mrs. John",female,2.0,0,0,A/5 59037,35.5205463210063,A144,S
247,0,3,"Passenger_247, Mr/Mrs. John",male,65.0,0,3,A/5 90103,10.907424511990806,,S
248,0,3,"Passenger_248, Mr/Mrs. John",female,,0,0,A/5 13513,28.1898766596867,,S
249,0,3,"Passenger_249, Mr/Mrs. John",male,53.0,0,0,A/5 23335,28.636812959564203,,S
250,0,3,"Passenger_250, Mr/Mrs. John",male,22.0,0,2,A/5 54140,40.643568728653115,,S
251,0,2,"Passenger_251, Mr/Mrs. John",male,21.0,0,0,A/5 90373,43.7580539876375,,S
252,1,3,"Passenger_252, Mr/Mrs. John",female,22.0,2,0,A/5 87658,23.119296756906305,,S
253,0,3,"Passenger_253, Mr/Mrs. John",male,30.0,1,3,A/5 44840,12.862693838690758,,S
254,0,2,"Passenger_254, Mr/Mrs. John",male,28.0,0,0,A/5 41007,58.13680439132225,,C
255,0,3,"Passenger_255, Mr/Mrs. John",male,45.0,0,0,A/5 66947,11.86780765895561,,S
256,0,3,"Passenger_256, Mr/Mrs. John",male,49.0,0,0,A/5 36393,22.664937102978158,,C
257,1,3,"Passenger_257, Mr/Mrs. John",male,1.0,0,0,A/5 67480,16.413294227009544,,S
258,0,3,"Passenger_258, Mr/Mrs. John",male,73.0,0,0,A/5 98290,61.809992820127505,,S
259,0,3,"Passenger_259, Mr/Mrs. John",female,32.0,0,0,A/5 96335,18.09569406287848,,S
260,0,3,"Passenger_260, Mr/Mrs. John",male,48.0,0,0,A/5 19107,15.613501095128655,,S
261,1,3,"Passenger_261, Mr/Mrs. John",male,74.0,0,1,A/5 15993,37.459661138616426,,S
262,0,3,"Passenger_262, Mr/Mrs. John",male,,3,0,A/5 62066,29.517190546211243,,S
